ID;Messenger_datetimes;RHESSI_datetimes;Obs_start_time;Obs_end_time;Messenger_T;Messenger_EM1;Messenger_GOES;Messenger_total_counts;RHESSI_GOES;GOES_GOES;RHESSI_total_counts;source_vis;Messenger_data_path;RHESSI_data_path;XRS_files;QL_images;RHESSI_browser_urls;csv_name;Angle;Notes
7053005;30-May-2007 13:46:33.000;30-May-2007 13:59:58.000;30-May-2007 13:53:55.000;30-May-2007 13:54:11.000;1.6424274445;1.913230896;M4.2;0;C2.0*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2007150;nan;nan;list_matches_chisq_fit_high.csv;62.5033742485;      18.6913
7060208;02-Jun-2007 10:31:26.000;02-Jun-2007 10:33:54.000;02-Jun-2007 10:33:47.000;02-Jun-2007 10:34:03.000;1.6493684053;0.2716652751;C5.9;0;M1.0;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2007153;nan;nan;list_matches_chisq_fit_high.csv;60.6469914651;      5.97018
7060304;03-Jun-2007 06:36:23.000;03-Jun-2007 07:04:10.000;03-Jun-2007 06:43:45.000;03-Jun-2007 06:44:01.000;1.4486442804;0.9723700285;M2.0;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2007154;nan;nan;list_matches_chisq_fit_high.csv;60.0759114819;      8.43392
7071024;10-Jul-2007 12:36:17.000;10-Jul-2007 12:39:50.000;10-Jul-2007 12:38:38.000;10-Jul-2007 12:38:54.000;1.5442405939;0.1979519576;C4.1;0;C1.1*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2007191;nan;nan;list_matches_chisq_fit_high.csv;52.5961065107;      4.24494
10020621;06-Feb-2010 15:29:58.000;06-Feb-2010 15:35:18.000;06-Feb-2010 15:37:19.000;06-Feb-2010 15:37:35.000;1.2884585857;0.0988494754;C1.8;0;B1.3;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2010037;nan;nan;list_matches_chisq_fit_high.csv;38.2863106158;      8.87206
10020855;08-Feb-2010 13:41:22.000;08-Feb-2010 13:55:14.000;08-Feb-2010 13:48:43.000;08-Feb-2010 13:48:59.000;1.3720481396;0.4793899655;C9.3;0;B1.3;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2010039;nan;nan;list_matches_chisq_fit_high.csv;42.9526341053;      9.95846
10110321;03-Nov-2010 12:11:43.000;03-Nov-2010 12:17:14.000;03-Nov-2010 12:19:04.000;03-Nov-2010 12:19:20.000;1.555767417;0.6588686109;M1.4;0;B4.7*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2010307;nan;nan;list_matches_chisq_fit_high.csv;102.0155007744;      8.13167
10110640;06-Nov-2010 15:31:53.000;06-Nov-2010 16:25:50.000;06-Nov-2010 15:39:14.000;06-Nov-2010 15:39:30.000;1.4588469267;1.03518188;M2.1;0;C8.2;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2010310;nan;nan;list_matches_chisq_fit_high.csv;96.7017449055;      6.83105
11021464;14-Feb-2011 15:41:43.000;14-Feb-2011 16:04:34.000;14-Feb-2011 15:52:50.000;14-Feb-2011 15:53:06.000;1.3340886831;0.4026483893;C7.7;0;B2.2;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011045;nan;nan;list_matches_chisq_fit_high.csv;153.900590065;      8.90658
11021439;14-Feb-2011 15:41:43.000;14-Feb-2011 16:27:38.000;14-Feb-2011 15:52:50.000;14-Feb-2011 15:53:06.000;1.3778856993;0.6024743915;M1.2;0;B7.8;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011045;nan;nan;list_matches_chisq_fit_high.csv;153.900590065;      25.4983
11021465;14-Feb-2011 15:41:43.000;14-Feb-2011 16:30:34.000;14-Feb-2011 15:52:50.000;14-Feb-2011 15:53:06.000;1.3962745667;0.5931906104;M1.2;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011045;nan;nan;list_matches_chisq_fit_high.csv;153.900590065;      9.51025
11021908;19-Feb-2011 02:56:59.000;19-Feb-2011 02:09:22.000;19-Feb-2011 03:00:36.000;19-Feb-2011 03:00:52.000;1.3591624498;0.0705767497;C1.4;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011050;nan;nan;list_matches_chisq_fit_high.csv;161.0185399081;      5.39995
11021975;19-Feb-2011 11:49:29.000;19-Feb-2011 11:35:34.000;19-Feb-2011 12:00:36.000;19-Feb-2011 12:00:52.000;1.2179546356;0.1436740458;C2.6;0;B2.7;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011050;nan;nan;list_matches_chisq_fit_high.csv;161.0185399081;      8.57491
11021935;19-Feb-2011 11:49:29.000;19-Feb-2011 11:48:06.000;19-Feb-2011 12:00:36.000;19-Feb-2011 12:00:52.000;1.19863379;0.197963044;C3.5;0;C1.0;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011050;nan;nan;list_matches_chisq_fit_high.csv;161.0185399081;      9.95019
11021937;19-Feb-2011 11:49:29.000;19-Feb-2011 12:24:42.000;19-Feb-2011 12:00:36.000;19-Feb-2011 12:00:52.000;1.2826601267;0.1110583842;C2.1;0;C1.1*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011050;nan;nan;list_matches_chisq_fit_high.csv;161.0185399081;      6.30507
11022407;24-Feb-2011 07:27:18.000;24-Feb-2011 07:32:18.000;24-Feb-2011 07:38:24.000;24-Feb-2011 07:38:40.000;1.5653676987;0.8364405036;M1.8;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011055;nan;nan;list_matches_chisq_fit_high.csv;167.7618264709;      18.4356
11030656;06-Mar-2011 18:12:57.000;06-Mar-2011 17:58:10.000;06-Mar-2011 18:16:33.000;06-Mar-2011 18:16:49.000;1.5662633181;2.5038540363;M5.3;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011065;nan;nan;list_matches_chisq_fit_high.csv;152.3561477913;      24.9692
11041649;16-Apr-2011 13:53:21.000;16-Apr-2011 14:06:30.000;16-Apr-2011 14:04:28.000;16-Apr-2011 14:04:44.000;1.4730812311;0.2597445548;C5.3;0;C2.1;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011106;nan;nan;list_matches_chisq_fit_high.csv;11.3798615485;      8.17663
11042276;22-Apr-2011 04:38:02.000;22-Apr-2011 04:47:58.000;22-Apr-2011 04:52:53.000;22-Apr-2011 04:53:09.000;1.2313417196;0.0771585479;C1.4;0;C1.1;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011112;nan;nan;list_matches_chisq_fit_high.csv;20.2938585519;      2.53446
11042235;22-Apr-2011 11:19:47.000;22-Apr-2011 11:24:18.000;22-Apr-2011 11:23:23.000;22-Apr-2011 11:23:39.000;1.3983724117;0.1256662458;C2.5;0;B8.4;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011112;nan;nan;list_matches_chisq_fit_high.csv;20.2938585519;      7.68835
11072842;28-Jul-2011 12:05:44.000;28-Jul-2011 12:09:38.000;28-Jul-2011 12:09:21.000;28-Jul-2011 12:09:37.000;1.2881914377;0.0761346295;C1.4;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011209;nan;nan;list_matches_chisq_fit_high.csv;59.4525448254;      3.17781
11080832;08-Aug-2011 18:01:03.000;08-Aug-2011 18:27:34.000;08-Aug-2011 18:08:25.000;08-Aug-2011 18:08:41.000;1.2741776705;0.2832275033;C5.3;0;B1.2;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011220;nan;nan;list_matches_chisq_fit_high.csv;40.291304406;      14.6825
11080927;09-Aug-2011 07:56:50.000;09-Aug-2011 08:04:34.000;09-Aug-2011 08:06:23.000;09-Aug-2011 08:06:39.000;1.4602558613;0.0894891843;C1.8;0;B2.7;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011221;nan;nan;list_matches_chisq_fit_high.csv;38.4035311263;      7.83183
11080927;09-Aug-2011 08:10:42.000;09-Aug-2011 08:04:34.000;09-Aug-2011 08:11:23.000;09-Aug-2011 08:11:39.000;1.3318352699;0.1510856748;C2.9;0;B7.2;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011221;nan;nan;list_matches_chisq_fit_high.csv;38.4035311263;      9.12688
11091009;10-Sep-2011 07:22:07.000;10-Sep-2011 07:26:30.000;10-Sep-2011 07:27:49.000;10-Sep-2011 07:28:05.000;1.3098466396;0.0941132084;C1.8;0;B5.2*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011253;nan;nan;list_matches_chisq_fit_high.csv;83.308947348;      1.83743
11091327;13-Sep-2011 17:48:30.000;13-Sep-2011 17:54:06.000;13-Sep-2011 17:55:52.000;13-Sep-2011 17:56:08.000;1.3468610048;0.2531744242;C4.9;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011256;nan;nan;list_matches_chisq_fit_high.csv;98.4578740143;      3.56943
11091670;16-Sep-2011 11:32:47.000;16-Sep-2011 10:37:42.000;16-Sep-2011 11:35:08.000;16-Sep-2011 11:35:24.000;1.3568305969;0.2339646667;C4.5;0;C1.1;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011259;nan;nan;list_matches_chisq_fit_high.csv;112.6299806432;      5.95200
11091951;19-Sep-2011 04:30:25.000;19-Sep-2011 05:26:26.000;19-Sep-2011 04:31:06.000;19-Sep-2011 04:31:22.000;1.6889802217;0.5748508573;M1.3;0;C2.2*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011262;nan;nan;list_matches_chisq_fit_high.csv;125.423977903;      12.5439
11092032;20-Sep-2011 12:29:04.000;20-Sep-2011 12:38:10.000;20-Sep-2011 12:36:26.000;20-Sep-2011 12:36:42.000;1.4066596031;0.2817901969;C5.6;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011263;nan;nan;list_matches_chisq_fit_high.csv;129.3465257927;      12.5946
11092066;20-Sep-2011 12:29:04.000;20-Sep-2011 13:01:18.000;20-Sep-2011 12:36:26.000;20-Sep-2011 12:36:42.000;1.3565245867;0.4428783357;C8.6;0;C2.2;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011263;nan;nan;list_matches_chisq_fit_high.csv;129.3465257927;      12.4206
110921100;21-Sep-2011 12:08:22.000;21-Sep-2011 12:33:42.000;21-Sep-2011 12:20:44.000;21-Sep-2011 12:21:00.000;1.1630961895;0.1227523088;C2.1;0;C3.4;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011264;nan;nan;list_matches_chisq_fit_high.csv;133.0923154385;      4.21066
11092515;25-Sep-2011 06:52:42.000;25-Sep-2011 07:29:42.000;25-Sep-2011 07:05:03.000;25-Sep-2011 07:05:19.000;1.1493890285;0.1379377395;C2.4;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      3.41470
11092517;25-Sep-2011 08:37:42.000;25-Sep-2011 08:19:58.000;25-Sep-2011 08:40:03.000;25-Sep-2011 08:40:19.000;1.4716897011;0.5200287104;M1.1;0;B1.5;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      25.9635
11092520;25-Sep-2011 08:37:42.000;25-Sep-2011 09:31:30.000;25-Sep-2011 08:40:03.000;25-Sep-2011 08:40:19.000;1.3179060221;0.4003646076;C7.6;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      4.76542
11092520;25-Sep-2011 09:27:42.000;25-Sep-2011 09:31:30.000;25-Sep-2011 09:40:03.000;25-Sep-2011 09:40:19.000;1.2131898403;0.1172475144;C2.1;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      2.21755
11092520;25-Sep-2011 10:27:42.000;25-Sep-2011 09:31:30.000;25-Sep-2011 10:30:03.000;25-Sep-2011 10:30:19.000;1.2747217417;0.0806422606;C1.5;0;C8.8;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      1.46496
11092521;25-Sep-2011 10:27:42.000;25-Sep-2011 10:41:06.000;25-Sep-2011 10:30:03.000;25-Sep-2011 10:30:19.000;1.3915741444;0.0821140334;C1.6;0;B6.5;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      4.32740
11092524;25-Sep-2011 15:00:17.000;25-Sep-2011 15:32:34.000;25-Sep-2011 15:12:38.000;25-Sep-2011 15:12:54.000;1.2404863834;0.0809841752;C1.5;0;B7.7;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      3.49879
11092524;25-Sep-2011 16:10:17.000;25-Sep-2011 15:32:34.000;25-Sep-2011 16:17:38.000;25-Sep-2011 16:17:54.000;1.5903096199;0.1196769103;C2.6;0;C2.4;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      10.8838
11092562;25-Sep-2011 15:00:17.000;25-Sep-2011 15:40:38.000;25-Sep-2011 15:12:38.000;25-Sep-2011 15:12:54.000;1.4577932358;0.1806327254;C3.7;0;B8.5;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      2.19414
11092562;25-Sep-2011 16:10:17.000;25-Sep-2011 15:40:38.000;25-Sep-2011 16:17:38.000;25-Sep-2011 16:17:54.000;1.4824975729;0.3455549479;C7.1;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      9.60897
11092549;25-Sep-2011 16:10:17.000;25-Sep-2011 17:03:50.000;25-Sep-2011 16:17:38.000;25-Sep-2011 16:17:54.000;1.3899917603;0.0728841349;C1.4;0;;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      3.81187
11092537;25-Sep-2011 22:15:17.000;25-Sep-2011 22:31:30.000;25-Sep-2011 22:22:38.000;25-Sep-2011 22:22:54.000;1.5119558573;0.2512727976;C5.2;0;C3.2*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011268;nan;nan;list_matches_chisq_fit_high.csv;146.2802277132;      27.6501
11092930;29-Sep-2011 12:07:51.000;29-Sep-2011 12:46:26.000;29-Sep-2011 12:10:13.000;29-Sep-2011 12:10:29.000;1.3043304682;0.1909969002;C3.6;0;C1.5*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011272;nan;nan;list_matches_chisq_fit_high.csv;156.4448786627;      3.87278
11093009;30-Sep-2011 03:10:04.000;30-Sep-2011 03:58:42.000;30-Sep-2011 03:12:25.000;30-Sep-2011 03:12:41.000;1.2919317484;0.0989672542;C1.9;0;C1.5*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011273;nan;nan;list_matches_chisq_fit_high.csv;158.4469361776;      2.88370
11093035;30-Sep-2011 22:38:27.000;30-Sep-2011 22:07:30.000;30-Sep-2011 22:49:08.000;30-Sep-2011 22:49:24.000;1.7093330622;0.2593053281;C5.8;0;B5.3;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011273;nan;nan;list_matches_chisq_fit_high.csv;158.4469361776;      11.4780
11101717;17-Oct-2011 13:22:24.000;17-Oct-2011 14:06:02.000;17-Oct-2011 13:23:06.000;17-Oct-2011 13:23:22.000;1.249350071;0.1102545261;C2.0;0;B3.5*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011290;nan;nan;list_matches_chisq_fit_high.csv;152.8517900928;      1.81117
11101717;17-Oct-2011 14:17:24.000;17-Oct-2011 14:06:02.000;17-Oct-2011 14:21:26.000;17-Oct-2011 14:21:42.000;1.433681488;0.1784595102;C3.6;0;C3.3;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011290;nan;nan;list_matches_chisq_fit_high.csv;152.8517900928;      5.16772
11110332;03-Nov-2011 11:02:05.000;03-Nov-2011 11:14:30.000;03-Nov-2011 11:09:26.000;03-Nov-2011 11:09:42.000;1.3086724281;0.0929208249;C1.8;0;C1.7;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011307;nan;nan;list_matches_chisq_fit_high.csv;123.8964728095;      2.22169
11110640;06-Nov-2011 01:01:57.000;06-Nov-2011 00:49:30.000;06-Nov-2011 01:09:18.000;06-Nov-2011 01:09:34.000;1.2645684481;0.1502333432;C2.8;0;B3.2;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011310;nan;nan;list_matches_chisq_fit_high.csv;117.7656952283;      5.82795
11111536;15-Nov-2011 12:38:09.000;15-Nov-2011 12:42:02.000;15-Nov-2011 12:45:30.000;15-Nov-2011 12:45:46.000;1.1699911356;0.3690984249;C6.4;0;B7.2;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011319;nan;nan;list_matches_chisq_fit_high.csv;95.6469394155;      3.51377
11121368;13-Dec-2011 23:31:16.000;13-Dec-2011 23:56:42.000;13-Dec-2011 23:38:37.000;13-Dec-2011 23:38:53.000;1.8291710615;0.1971658021;C4.6;0;C2.5*;;0;nan;/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files;/Users/wheatley/Documents/Solar/occulted_flares/data/;/xrs2011347;nan;nan;list_matches_chisq_fit_high.csv;35.6037803757;      4.50516
